county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
1,2011,249834.0,12,14.0,145586208.8542875,FL,ALACHUA,5.603720870658117,14.807061928930487,5.603720870658117
1,2012,251520.0,12,14.0,127724752.5065625,FL,ALACHUA,5.566157760814249,13.184114832066342,5.566157760814249
1,2013,252475.0,12,12.0,107443038.990675,FL,ALACHUA,4.752945836221408,11.630726530637734,4.752945836221408
1,2014,255456.0,12,19.0,102635251.905,FL,ALACHUA,7.437680070149067,12.109261541833874,7.437680070149067
1,2015,259052.0,12,23.0,105979623.5025,FL,ALACHUA,8.878526319040192,14.987429129395773,8.878526319040192
3,2006,25571.0,12,,11900178.637500001,FL,BAKER,,14.028622030911139,14.028622030911139
3,2007,26212.0,12,,13793788.183225,FL,BAKER,,14.088496419709609,14.088496419709609
3,2008,26725.0,12,,15651322.154225,FL,BAKER,,15.208641162050228,15.208641162050228
3,2009,27124.0,12,,19166920.8,FL,BAKER,,14.500168263534942,14.500168263534942
3,2010,27066.0,12,,29826856.41,FL,BAKER,,15.664955201489008,15.664955201489008
3,2011,27049.0,12,,32781684.974999998,FL,BAKER,,14.807061928930487,14.807061928930487
3,2012,27053.0,12,,21661368.66,FL,BAKER,,13.184114832066342,13.184114832066342
3,2013,27009.0,12,,18561428.4675,FL,BAKER,,11.630726530637734,11.630726530637734
3,2014,27122.0,12,,16525448.49,FL,BAKER,,12.109261541833874,12.109261541833874
3,2015,27355.0,12,,14955377.2725,FL,BAKER,,14.987429129395773,14.987429129395773
5,2006,165644.0,12,21.0,61998420.30707501,FL,BAY,12.677790925116515,14.028622030911139,12.677790925116515
5,2007,165345.0,12,30.0,61276517.2742625,FL,BAY,18.143880976140796,14.088496419709609,18.143880976140796
5,2008,166267.0,12,23.0,65678361.991262496,FL,BAY,13.833171946327292,15.208641162050228,13.833171946327292
5,2009,167464.0,12,18.0,68148027.58293751,FL,BAY,10.748578799025463,14.500168263534942,10.748578799025463
5,2010,169206.0,12,22.0,72649016.4206625,FL,BAY,13.001903005803577,15.664955201489008,13.001903005803577
5,2011,169555.0,12,,73271282.6176875,FL,BAY,,14.807061928930487,14.807061928930487
5,2012,171757.0,12,15.0,73297777.451325,FL,BAY,8.733268513073703,13.184114832066342,8.733268513073703
5,2013,174596.0,12,19.0,75889627.0995,FL,BAY,10.882265343994135,11.630726530637734,10.882265343994135
5,2014,178289.0,12,22.0,86676138.3079125,FL,BAY,12.339516178788372,12.109261541833874,12.339516178788372
5,2015,181488.0,12,25.0,93021792.26909998,FL,BAY,13.77501542801728,14.987429129395773,13.77501542801728
7,2006,28506.0,12,,13424830.8949,FL,BRADFORD,,14.028622030911139,14.028622030911139
7,2007,28825.0,12,,15855501.145125,FL,BRADFORD,,14.088496419709609,14.088496419709609
