county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
1,2003,134605.0,10,10.0,7.429144534006909,7.696941057664898,7.429144534006909
1,2004,139342.0,10,,,5.693178862479285,5.693178862479285
1,2005,144585.0,10,,,7.069933103146503,7.069933103146503
1,2006,149704.0,10,11.0,7.34783305723294,7.562575681002588,7.34783305723294
1,2007,153969.0,10,,,7.382630341396858,7.382630341396858
1,2008,157925.0,10,11.0,6.965331644768086,9.803144084106231,6.965331644768086
1,2009,160081.0,10,15.0,9.370256307744205,11.46980675810057,9.370256307744205
1,2010,162956.0,10,19.0,11.65958909153391,12.934070887692625,11.65958909153391
1,2011,165110.0,10,24.0,14.535764036097149,13.100450073608991,14.535764036097149
1,2012,167297.0,10,28.0,16.736701793815786,12.510714918605046,16.736701793815786
1,2013,169038.0,10,28.0,16.564322814988348,14.506067693931366,16.564322814988348
1,2014,171456.0,10,32.0,18.66368047779022,16.42411487475331,18.66368047779022
1,2015,173128.0,10,34.0,19.638648860958366,18.47957621108606,19.638648860958366
3,2003,514769.0,10,41.0,7.964737581322885,7.696941057664898,7.964737581322885
3,2004,518944.0,10,26.0,5.010174508232102,5.693178862479285,5.010174508232102
3,2005,523343.0,10,37.0,7.069933103146503,7.069933103146503,7.069933103146503
3,2006,527174.0,10,41.0,7.777318304772238,7.562575681002588,7.777318304772238
3,2007,530555.0,10,50.0,9.424093637794385,7.382630341396858,9.424093637794385
3,2008,533958.0,10,67.0,12.547803385284984,9.803144084106231,12.547803385284984
3,2009,536898.0,10,60.0,11.175307041560968,11.46980675810057,11.175307041560968
3,2010,538752.0,10,70.0,12.992991209313375,12.934070887692625,12.992991209313375
3,2011,541909.0,10,72.0,13.286363577648647,13.100450073608991,13.286363577648647
3,2012,544848.0,10,65.0,11.929932751886763,12.510714918605046,11.929932751886763
3,2013,548331.0,10,76.0,13.860241350571096,14.506067693931366,13.860241350571096
3,2014,550768.0,10,90.0,16.34081863870087,16.42411487475331,16.34081863870087
3,2015,553488.0,10,95.0,17.163877084959385,18.47957621108606,17.163877084959385
5,2003,168629.0,10,,,7.696941057664898,7.696941057664898
5,2004,172517.0,10,11.0,6.376183216726468,5.693178862479285,6.376183216726468
5,2005,177222.0,10,,,7.069933103146503,7.069933103146503
5,2006,182390.0,10,,,7.562575681002588,7.562575681002588
5,2007,187225.0,10,10.0,5.341167044999332,7.382630341396858,5.341167044999332
5,2008,191991.0,10,19.0,9.896297222265627,9.803144084106231,9.896297222265627
5,2009,194751.0,10,27.0,13.863856924996535,11.46980675810057,13.863856924996535
5,2010,197885.0,10,28.0,14.149632362230589,12.934070887692625,14.149632362230589
5,2011,200362.0,10,23.0,11.479222607081184,13.100450073608991,11.479222607081184
5,2012,203034.0,10,18.0,8.865510210112593,12.510714918605046,8.865510210112593
5,2013,206207.0,10,27.0,13.093638916234656,14.506067693931366,13.093638916234656
5,2014,210263.0,10,30.0,14.267845507768843,16.42411487475331,14.267845507768843
5,2015,214636.0,10,40.0,18.63620268734043,18.47957621108606,18.63620268734043
1,2003,227022.0,12,11.0,4.8453453850287636,10.898636831861468,4.8453453850287636
1,2004,229867.0,12,,,11.443833776867127,11.443833776867127
1,2005,233756.0,12,,,12.214425193420814,12.214425193420814
1,2006,239506.0,12,,,14.028622030911139,14.028622030911139
1,2007,242685.0,12,17.0,7.004965284216165,14.088496419709609,7.004965284216165
1,2008,244888.0,12,,,15.208641162050228,15.208641162050228
1,2009,246657.0,12,15.0,6.081319403057687,14.500168263534942,6.081319403057687
1,2010,247614.0,12,15.0,6.057815793937338,15.664955201489008,6.057815793937338
1,2011,249834.0,12,14.0,5.603720870658117,14.807061928930487,5.603720870658117
1,2012,251520.0,12,14.0,5.566157760814249,13.184114832066342,5.566157760814249
1,2013,252475.0,12,12.0,4.752945836221408,11.630726530637734,4.752945836221408
1,2014,255456.0,12,19.0,7.437680070149067,12.109261541833874,7.437680070149067
1,2015,259052.0,12,23.0,8.878526319040192,14.987429129395773,8.878526319040192
3,2003,23555.0,12,,,10.898636831861468,10.898636831861468
3,2004,24142.0,12,,,11.443833776867127,11.443833776867127
3,2005,24832.0,12,,,12.214425193420814,12.214425193420814
3,2006,25571.0,12,,,14.028622030911139,14.028622030911139
3,2007,26212.0,12,,,14.088496419709609,14.088496419709609
3,2008,26725.0,12,,,15.208641162050228,15.208641162050228
3,2009,27124.0,12,,,14.500168263534942,14.500168263534942
3,2010,27066.0,12,,,15.664955201489008,15.664955201489008
3,2011,27049.0,12,,,14.807061928930487,14.807061928930487
3,2012,27053.0,12,,,13.184114832066342,13.184114832066342
3,2013,27009.0,12,,,11.630726530637734,11.630726530637734
3,2014,27122.0,12,,,12.109261541833874,12.109261541833874
3,2015,27355.0,12,,,14.987429129395773,14.987429129395773
5,2003,155044.0,12,21.0,13.544542194473827,10.898636831861468,13.544542194473827
5,2004,158804.0,12,18.0,11.334727084960075,11.443833776867127,11.334727084960075
5,2005,162917.0,12,17.0,10.434761258800494,12.214425193420814,10.434761258800494
5,2006,165644.0,12,21.0,12.677790925116515,14.028622030911139,12.677790925116515
5,2007,165345.0,12,30.0,18.143880976140796,14.088496419709609,18.143880976140796
5,2008,166267.0,12,23.0,13.833171946327292,15.208641162050228,13.833171946327292
5,2009,167464.0,12,18.0,10.748578799025463,14.500168263534942,10.748578799025463
5,2010,169206.0,12,22.0,13.001903005803577,15.664955201489008,13.001903005803577
5,2011,169555.0,12,,,14.807061928930487,14.807061928930487
5,2012,171757.0,12,15.0,8.733268513073703,13.184114832066342,8.733268513073703
5,2013,174596.0,12,19.0,10.882265343994135,11.630726530637734,10.882265343994135
5,2014,178289.0,12,22.0,12.339516178788372,12.109261541833874,12.339516178788372
5,2015,181488.0,12,25.0,13.77501542801728,14.987429129395773,13.77501542801728
7,2003,27035.0,12,,,10.898636831861468,10.898636831861468
7,2004,27703.0,12,,,11.443833776867127,11.443833776867127
7,2005,28098.0,12,,,12.214425193420814,12.214425193420814
7,2006,28506.0,12,,,14.028622030911139,14.028622030911139
7,2007,28825.0,12,,,14.088496419709609,14.088496419709609
7,2008,28961.0,12,,,15.208641162050228,15.208641162050228
7,2009,28979.0,12,,,14.500168263534942,14.500168263534942
7,2010,28536.0,12,,,15.664955201489008,15.664955201489008
7,2011,28431.0,12,,,14.807061928930487,14.807061928930487
7,2012,27051.0,12,,,13.184114832066342,13.184114832066342
7,2013,26802.0,12,,,11.630726530637734,11.630726530637734
7,2014,26552.0,12,,,12.109261541833874,12.109261541833874
7,2015,26748.0,12,,,14.987429129395773,14.987429129395773
9,2003,504847.0,12,83.0,16.44062458527039,10.898636831861468,16.44062458527039
9,2004,518722.0,12,96.0,18.507023029676784,11.443833776867127,18.507023029676784
9,2005,529907.0,12,90.0,16.984112306499064,12.214425193420814,16.984112306499064
